"Area","Site Name","Contact","Phone"
"District1","Center6","Contact_94","+3393310907"
"District1","Center7","Contact_95","+3393298908"
"District1","Center8","Contact_96","+3393310852"
"District1","Center9","Contact_97","+3393298852"
"District1","Center10","Contact_98","+3393298876"
"District1","Center11","Contact_99, Contact_177","+3393298132, +3393299856"
"District2","Center13","Contact_100","+3393298137"
"District2","Center14","Contact_101","+3393298147"
"District2","Center15","Contact_102","+3393298203"
"District2","Center17","Contact_104","+3393298237"
"District2","Center18","Contact_105","+3393298190"
"District2","Center21","Contact_108","+3393299657"
"District2","Center22","Contact_109","+3393299561"
"District2","Center24","Contact_111","+3393299556"
"District2","Center25","Contact_112","+3393299813"
"District2","Center26","Contact_113","+3393299568"
"District2","Center27","Contact_114","+3393299486"
"District2","Center28","Contact_115","+3393298919"
"District2","Center30","Contact_117","+3393299133"
"District2","Center31","Contact_118","+3393299036"
"District2","Center32","Contact_119","+3393298986"
"District2","Center34","Contact_121","+3393299010"
"District2","Center35","Contact_122","+3393298917"
"District2","Center36","Contact_123","+3393299378"
"District2","Center37","Contact_124","+3393299062"
"District2","Center38","Contact_125","+3393299467"
"District2","Center39","Contact_126","+3393299248"
"District2","Center40","Contact_127","+3393299286"
"District2","Center41","Contact_128","+3393299216"
"District3","Center46","Contact_132","+3393299183"
"District3","Center48","Contact_134","+3393310526"
"District3","Center49","Contact_135","+3393310473"
"District3","Center50","Contact_136","+3393310573"
"District3","Center51","Contact_137","+3393310451"
"District3","Center52","Contact_138","+3393310499"
"District3","Center54","Contact_140","+3393310534"
"District4","Center56","Contact_141","+3393310611"
"District4","Center57","Contact_142","+3393310739"
"District4","Center58","Contact_143","+3393310772"
"District4","Center59","Contact_144","+3393310685"
"District4","Center60","Contact_145","+3393310626"
"District4","Center61","Contact_146","+3393310693"
"District5","Center68","Contact_152","+3393310283"
"District5","Center70","Contact_154","+3393310157"
"District5","Center71","Contact_155","+3393310174"
"District5","Center72","Contact_156","+3393310118"
"District5","Center73","Contact_157","+3393310232"
"District5","Center74","Contact_158","+3393299985"
"District5","Center75","Contact_159","+3393310187"
"District5","Center76","Contact_160","+3393310304"
"District5","Center77","Contact_161","+3393310297"
"DisctrictK","Center79","Contact_87","+3399272688"
"DisctrictK","Center82","Contact_90","+3398656896"
"DisctrictK","Center83","Contact_91","+3399339762"
"DisctrictK","Center84","Contact_92","+3399366253"
"DisctrictL","Center88","Contact_25","+3399191838"
"DisctrictL","Center89","Contact_26","+3399196089"
"DisctrictL","Center92","Contact_29","+3399198990"
"DisctrictL","Center93","Contact_30","+3399163250"
"DisctrictL","Center96","Contact_33","+3399142849"
"DisctrictL","Center97","Contact_34","+3399156521"
"DisctrictL","Center100","Contact_37","+3398074215"
"DisctrictM","Center104","Contact_3","+3399721014"
"DisctrictM","Center108","Contact_7","+3399756228"
"DisctrictN","Center131","Contact_43","+3399211269"
"DisctrictN","Center133","Contact_45","+3398017000"
"DisctrictN","Center135","Contact_47","+3399947290"
"DisctrictN","Center138","Contact_50","+3399961091"
"DisctrictN","Center142","Contact_54","+3399078149"
"DisctrictN","Center143","Contact_55","+3399015038"
"DisctrictO","Center148","Contact_59","+3399299248"
"DisctrictO","Center149","Contact_60","+3399346410"
"DisctrictO","Center153","Contact_64","+3393298561"
"DisctrictO","Center168","Contact_79","+3393298703"
"DisctrictO","Center172","Contact_83","+3393298761"
